day;start_time;end_time;subject;lecturer;place
2024-10-14;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-14;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-14;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-14;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-10-15;11:15:00;12:50:00;Дискретная математика, лекция;Кудряшова Е. В.;Университетский проспект, д. 28, лит. Д, 405
2024-10-15;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-10-15;15:25:00;17:00:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-10-16;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-10-16;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-10-16;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-10-16;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-10-16;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-16;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-10-16;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-10-16;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-16;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-16;11:15:00;12:50:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2528
2024-10-16;13:40:00;15:15:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2518
2024-10-16;15:25:00;17:00:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-10-17;11:15:00;12:50:00;Геометрия и топология, практическое занятие;Пичугина А. Н.;Университетский проспект, д. 28, лит. Б, 2516
2024-10-17;13:40:00;15:15:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-10-17;15:25:00;17:00:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-10-18;09:30:00;11:05:00;Дискретная математика, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. А,6
2024-10-18;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-10-18;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-10-19;09:30:00;11:05:00;Основы российской государственности, лекция;Прокудин Д. Е.;Университетский проспект, д. 28, лит. А,1
2024-10-19;11:15:00;12:50:00;Основы российской государственности, лекция;Прокудин Д. Е.;Университетский проспект, д. 28, лит. А,1
2024-10-21;09:30:00;11:05:00;Информатика, лекция;Абрамов М. В.;Университетский проспект, д. 28, лит. Д, 405
2024-10-21;11:15:00;12:50:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-10-21;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-10-21;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б,3516
2024-10-21;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-10-21;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-10-21;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-10-21;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-21;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-21;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-21;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-10-22;11:15:00;12:50:00;Дискретная математика, лекция;Мокаев Р. Н.;Университетский проспект, д. 28, лит. Д, 405
2024-10-22;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-10-23;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-10-23;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-10-23;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-10-23;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-10-23;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-23;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-23;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-10-23;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-10-23;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-23;11:15:00;12:50:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2528
2024-10-23;13:40:00;15:15:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-10-23;15:25:00;17:00:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-10-24;11:15:00;12:50:00;Геометрия и топология, практическое занятие;Пичугина А. Н.;Университетский проспект, д. 28, лит. Б, 2516
2024-10-24;13:40:00;15:15:00;Программирование C++, лекция;Гориховский В. И.;Университетский проспект, д. 28, лит. И, 2143
2024-10-24;15:25:00;17:00:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-10-28;09:30:00;11:05:00;Информатика, семинар;Бушмелев Ф. В.;Университетский проспект, д. 28, лит. Д, 3315
2024-10-28;09:30:00;11:05:00;Информатика, семинар;Есин М. С.;Университетский проспект, д. 28, лит. Б, 1416-2
2024-10-28;11:15:00;12:50:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-10-28;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-10-28;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б,3516
2024-10-28;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-10-28;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-10-28;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-10-28;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-28;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-28;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-28;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-10-29;11:15:00;12:50:00;Дискретная математика, лекция;Кудряшова Е. В.;Университетский проспект, д. 28, лит. Д, 405
2024-10-29;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-10-29;15:25:00;17:00:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-10-30;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-10-30;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-10-30;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-10-30;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-10-30;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-10-30;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-10-30;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-10-30;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-10-30;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-10-30;11:15:00;12:50:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2528
2024-10-30;13:40:00;15:15:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2518
2024-10-30;15:25:00;17:00:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-10-31;11:15:00;12:50:00;Геометрия и топология, практическое занятие;Пичугина А. Н.;Университетский проспект, д. 28, лит. Б, 2516
2024-10-31;13:40:00;15:15:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-11-01;09:30:00;11:05:00;Дискретная математика, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. А,6
2024-11-01;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-11-01;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-11-02;09:30:00;11:05:00;Основы российской государственности, лекция;Прокудин Д. Е.;Университетский проспект, д. 28, лит. А,1
2024-11-02;11:15:00;12:50:00;Основы российской государственности, лекция;Прокудин Д. Е.;Университетский проспект, д. 28, лит. А,1
2024-11-04;09:30:00;11:05:00;Информатика, лекция;Абрамов М. В.;Университетский проспект, д. 28, лит. Д, 405
2024-11-04;11:15:00;12:50:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-04;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-04;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-04;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-04;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-04;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-11-04;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-04;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-04;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-11-04;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-11-05;11:15:00;12:50:00;Дискретная математика, лекция;Мокаев Р. Н.;Университетский проспект, д. 28, лит. Д, 405
2024-11-05;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-11-06;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-06;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-06;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-06;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-06;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-06;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-06;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-06;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-11-06;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-11-06;11:15:00;12:50:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2528
2024-11-06;13:40:00;15:15:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-11-06;15:25:00;17:00:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-11-07;11:15:00;12:50:00;Геометрия и топология, практическое занятие;Пичугина А. Н.;Университетский проспект, д. 28, лит. Б, 2516
2024-11-07;13:40:00;15:15:00;Программирование C++, лекция;Гориховский В. И.;Университетский проспект, д. 28, лит. И, 2143
2024-11-07;15:25:00;17:00:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-11-11;09:30:00;11:05:00;Информатика, семинар;Бушмелев Ф. В.;Университетский проспект, д. 28, лит. Д, 3315
2024-11-11;09:30:00;11:05:00;Информатика, семинар;Есин М. С.;Университетский проспект, д. 28, лит. Б, 1416-2
2024-11-11;11:15:00;12:50:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-11;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-11;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-11;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-11;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-11;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-11-11;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-11;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-11;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-11-11;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-11-12;11:15:00;12:50:00;Дискретная математика, лекция;Кудряшова Е. В.;Университетский проспект, д. 28, лит. Д, 405
2024-11-12;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-11-12;15:25:00;17:00:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-11-13;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-13;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-13;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-13;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-13;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-13;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-13;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-11-13;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-11-13;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-13;11:15:00;12:50:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2528
2024-11-13;13:40:00;15:15:00;Математический анализ, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. Б, 2518
2024-11-13;15:25:00;17:00:00;Алгебра, практическое занятие;Нестеров В. В.;Университетский проспект, д. 28, лит. Б, 2512
2024-11-14;11:15:00;12:50:00;Геометрия и топология, практическое занятие;Пичугина А. Н.;Университетский проспект, д. 28, лит. Б, 2516
2024-11-14;13:40:00;15:15:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-11-14;15:25:00;17:00:00;Алгебра, лекция;Нестеров В. В.;Университетский проспект, д. 28, лит. А,6
2024-11-15;09:30:00;11:05:00;Дискретная математика, практическое занятие;Андреев Ю. А.;Университетский проспект, д. 28, лит. А,6
2024-11-15;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-11-15;11:15:00;12:50:00;Программирование C++, практическое занятие;Кац В. М.;Университетский проспект, д. 28, лит. Д, 405
2024-11-16;09:30:00;11:05:00;Основы российской государственности, лекция;Прокудин Д. Е.;Университетский проспект, д. 28, лит. А,1
2024-11-18;09:30:00;11:05:00;Информатика, лекция;Абрамов М. В.;Университетский проспект, д. 28, лит. Д, 405
2024-11-18;11:15:00;12:50:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-18;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-18;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-18;11:15:00;12:50:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-18;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-18;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
2024-11-18;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-18;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-18;11:15:00;12:50:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Юлова Е. С.;Университетский проспект, д. 28, лит. Б, 1507
2024-11-18;11:15:00;12:50:00;Траектория 4 (B2-В2+). Английский язык, практическое занятие_x000d_ Подгруппа 2;Ибрагимова Д. Х.;Университетский проспект, д. 28, лит. Б,1508
2024-11-19;11:15:00;12:50:00;Дискретная математика, лекция;Мокаев Р. Н.;Университетский проспект, д. 28, лит. Д, 405
2024-11-19;13:40:00;15:15:00;Математический анализ, лекция;Роткевич А. С.;Университетский проспект, д. 28, лит. А,6
2024-11-20;09:30:00;11:05:00;Русский язык как иностранный, практическое занятие;Быстрых М. В.;Университетский проспект, д. 35, лит. Б, 316
2024-11-20;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 2;Журавлева Ю. В.;Университетский проспект, д. 28, лит. Б, 2509
2024-11-20;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Шашукова А. С.;Университетский проспект, д. 28, лит. Б, 2505
2024-11-20;09:30:00;11:05:00;Траектория 2 (А2 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Парфенов А. С.;Университетский проспект, д. 28, лит. Б, 3507
2024-11-20;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 1;Слобожанина С. И.;Университетский проспект, д. 28, лит. Б, 3503
2024-11-20;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 5;Гукалина А. В.;Университетский проспект, д. 28, лит. Б, 3512
2024-11-20;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 4;Кононов Б. В.;Университетский проспект, д. 28, лит. Б,3516
2024-11-20;09:30:00;11:05:00;Траектория 3 (В1 – В2). Английский язык, практическое занятие_x000d_ Подгруппа 3;Аношина Е. В.;Университетский проспект, д. 28, лит. Б, 3505
